Name,IATA,Latitude,Longitude,distance
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,50.330299377441406,-105.55899810791016,Ellipsis
Fort McMurray Airport,YMM,56.653301239,-111.222000122,Ellipsis
Moosonee Airport,YMO,51.29109954833984,-80.60780334472656,Ellipsis
Maniwaki Airport,YMW,46.2728004456,-75.9906005859,Ellipsis
Montreal International (Mirabel) Airport,YMX,45.679501,-74.038696,Ellipsis
Natashquan Airport,YNA,50.18999862670898,-61.78919982910156,Ellipsis
Ottawa / Gatineau Airport,YND,45.5217018127,-75.5635986328,Ellipsis
Matagami Airport,YNM,49.76169967651367,-77.80280303955078,Ellipsis
Old Crow Airport,YOC,67.57060241699219,-139.83900451660156,Ellipsis
CFB Cold Lake,YOD,54.40499877929688,-110.27899932861328,Ellipsis
High Level Airport,YOJ,58.62139892578125,-117.16500091552734,Ellipsis
Ottawa Macdonald-Cartier International Airport,YOW,45.3224983215332,-75.66919708251953,Ellipsis
Prince Albert Glass Field,YPA,53.2141990662,-105.672996521,Ellipsis
Peace River Airport,YPE,56.226898,-117.446999,Ellipsis
Southport Airport,YPG,49.903099,-98.273817,Ellipsis
Pickle Lake Airport,YPL,51.4463996887207,-90.21420288085938,Ellipsis
Port Menier Airport,YPN,49.83639907836914,-64.2885971069336,Ellipsis
Peterborough Airport,YPQ,44.22999954223633,-78.36329650878906,Ellipsis
Prince Rupert Airport,YPR,54.2860984802,-130.445007324,Ellipsis
Fort Chipewyan Airport,YPY,58.7672004699707,-111.11699676513672,Ellipsis
Muskoka Airport,YQA,44.974700927734375,-79.30329895019531,Ellipsis
Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303,Ellipsis
Red Deer Regional Airport,YQF,52.18220138549805,-113.8939971923828,Ellipsis
Windsor Airport,YQG,42.27560043334961,-82.95559692382812,Ellipsis
Watson Lake Airport,YQH,60.11640167236328,-128.82200622558594,Ellipsis
Kenora Airport,YQK,49.78829956054688,-94.36309814453124,Ellipsis
Lethbridge County Airport,YQL,49.6302986145,-112.800003052,Ellipsis
Greater Moncton International Airport,YQM,46.11220169067383,-64.67859649658203,Ellipsis
Comox Airport,YQQ,49.71080017089844,-124.88700103759766,Ellipsis
Regina International Airport,YQR,50.43190002441406,-104.66600036621094,Ellipsis
Thunder Bay Airport,YQT,48.37189865112305,-89.32389831542969,Ellipsis
Grande Prairie Airport,YQU,55.1796989441,-118.885002136,Ellipsis
Yorkton Municipal Airport,YQV,51.26470184326172,-102.46199798583984,Ellipsis
North Battleford Airport,YQW,52.76919937133789,-108.24400329589844,Ellipsis
Gander International Airport,YQX,48.9369010925293,-54.56809997558594,Ellipsis
Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798,Ellipsis
Quesnel Airport,YQZ,53.026100158691406,-122.51000213623048,Ellipsis
Resolute Bay Airport,YRB,74.7169036865,-94.9693984985,Ellipsis
Rivière-du-Loup Airport,YRI,47.76440048217773,-69.58470153808594,Ellipsis
Roberval Airport,YRJ,48.52000045776367,-72.2656021118164,Ellipsis
Rocky Mountain House Airport,YRM,52.4296989441,-114.903999329,Ellipsis
Rankin Inlet Airport,YRT,62.8114013672,-92.1157989502,Ellipsis
Sudbury Airport,YSB,46.625,-80.79889678955078,Ellipsis
Sherbrooke Airport,YSC,45.4385986328125,-71.69139862060547,Ellipsis
Saint John Airport,YSJ,45.31610107421875,-65.89029693603516,Ellipsis
Fort Smith Airport,YSM,60.020301818847656,-111.96199798583984,Ellipsis
Nanisivik Airport,YSR,72.982201,-84.613602,Ellipsis
Summerside Airport,YSU,46.44060134887695,-63.83359909057617,Ellipsis
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.9938964844,-125.242996216,Ellipsis
Cape Dorset Airport,YTE,64.2300033569,-76.5267028809,Ellipsis
Thompson Airport,YTH,55.80110168457031,-97.86419677734376,Ellipsis
CFB Trenton,YTR,44.118900299072266,-77.5280990600586,Ellipsis
Timmins/Victor M. Power,YTS,48.5696983337,-81.376701355,Ellipsis
Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202,Ellipsis
Tuktoyaktuk Airport,YUB,69.43329620361328,-133.0260009765625,Ellipsis
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.4706001282,-73.7407989502,Ellipsis
Repulse Bay Airport,YUT,66.5214004517,-86.22470092770001,Ellipsis
Hall Beach Airport,YUX,68.77610015869999,-81.2425,Ellipsis
Rouyn Noranda Airport,YUY,48.20610046386719,-78.83560180664062,Ellipsis
La Ronge Airport,YVC,55.1514015198,-105.262001038,Ellipsis
Vermilion Airport,YVG,53.3558006287,-110.823997498,Ellipsis
Qikiqtarjuaq Airport,YVM,67.5457992554,-64.03140258789999,Ellipsis
Val-d'Or Airport,YVO,48.0532989502,-77.7827987671,Ellipsis
Kuujjuaq Airport,YVP,58.096099853515625,-68.4269027709961,Ellipsis
Norman Wells Airport,YVQ,65.28160095214844,-126.7979965209961,Ellipsis
Vancouver International Airport,YVR,49.193901062,-123.183998108,Ellipsis
Buffalo Narrows Airport,YVT,55.8418998718,-108.417999268,Ellipsis
Wiarton Airport,YVV,44.7458,-81.107201,Ellipsis
Petawawa Airport,YWA,45.95220184326172,-77.31919860839844,Ellipsis
Winnipeg / James Armstrong Richardson International Airport,YWG,49.9099998474,-97.2398986816,Ellipsis
Wabush Airport,YWK,52.92190170288086,-66.8644027709961,Ellipsis
Williams Lake Airport,YWL,52.1831016541,-122.054000854,Ellipsis
Wrigley Airport,YWY,63.20940017700195,-123.43699645996094,Ellipsis
Cranbrook/Canadian Rockies International Airport,YXC,49.610801696777,-115.78199768066,Ellipsis
Edmonton City Centre (Blatchford Field) Airport,YXD,53.5724983215,-113.521003723,Ellipsis
Saskatoon John G. Diefenbaker International Airport,YXE,52.17079925537109,-106.6999969482422,Ellipsis
Medicine Hat Airport,YXH,50.01890182495117,-110.72100067138672,Ellipsis
Fort St John Airport,YXJ,56.23809814453125,-120.73999786376952,Ellipsis
Sioux Lookout Airport,YXL,50.11389923095703,-91.9052963256836,Ellipsis
Pangnirtung Airport,YXP,66.1449966431,-65.71360015869999,Ellipsis
Earlton (Timiskaming Regional) Airport,YXR,47.6974006546,-79.8473453522,Ellipsis
Prince George Airport,YXS,53.8894004822,-122.679000854,Ellipsis
Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009,Ellipsis
London Airport,YXU,43.035599,-81.1539,Ellipsis
Abbotsford Airport,YXX,49.025299072265625,-122.36100006103516,Ellipsis
Whitehorse / Erik Nielsen International Airport,YXY,60.7095985413,-135.067001343,Ellipsis
North Bay Jack Garland Airport,YYB,46.363602,-79.422798,Ellipsis
Calgary International Airport,YYC,51.113899231,-114.019996643,Ellipsis
Smithers Airport,YYD,54.82469940185547,-127.18299865722656,Ellipsis
Fort Nelson Airport,YYE,58.8363990784,-122.597000122,Ellipsis
Penticton Airport,YYF,49.46310043334961,-119.60199737548828,Ellipsis
Charlottetown Airport,YYG,46.290000915527344,-63.12110137939453,Ellipsis
Taloyoak Airport,YYH,69.5466995239,-93.5766983032,Ellipsis
Victoria International Airport,YYJ,48.646900177,-123.426002502,Ellipsis
Lynn Lake Airport,YYL,56.86389923095703,-101.07599639892578,Ellipsis
Swift Current Airport,YYN,50.2919006348,-107.691001892,Ellipsis
Churchill Airport,YYQ,58.739200592041016,-94.06500244140624,Ellipsis
Goose Bay Airport,YYR,53.3191986084,-60.4258003235,Ellipsis
St. John's International Airport,YYT,47.618598938,-52.7518997192,Ellipsis
Kapuskasing Airport,YYU,49.41389846801758,-82.46749877929688,Ellipsis
Armstrong Airport,YYW,50.29029846191406,-88.90969848632812,Ellipsis
Mont Joli Airport,YYY,48.60860061645508,-68.20809936523438,Ellipsis
Lester B. Pearson International Airport,YYZ,43.6772003174,-79.63059997559999,Ellipsis
Downsview Airport,YZD,43.74250030517578,-79.4655990600586,Ellipsis
Gore Bay Manitoulin Airport,YZE,45.88529968261719,-82.56780242919922,Ellipsis
Yellowknife Airport,YZF,62.462799072265625,-114.44000244140624,Ellipsis
Slave Lake Airport,YZH,55.2930984497,-114.777000427,Ellipsis
Sandspit Airport,YZP,53.25429916379999,-131.813995361,Ellipsis
Chris Hadfield Airport,YZR,42.9994010925293,-82.30889892578125,Ellipsis
